,NZ,Unemployment,CPI,Export prices,Import prices,HPI,OICR
1990-03-31,0.2,7.2,7.2,-0.2,-0.4,2.1,13.45
1990-04-30,-0.19182362974447428,7.4212620417270525,6.598068490348485,-1.095622622681478,2.348571575140999,1.2907013453741658,13.052946945756743
1990-05-31,-0.41362899499772815,7.579600780840008,6.622747978393815,-1.9837322377727706,2.3165665152702717,0.8634497254039858,13.033315726449668
1990-06-30,-0.5002806169571603,7.7010058659751595,7.004230198018373,-2.7052858173902594,0.6816038749854061,0.6993439830455722,13.25263223312013
1990-07-31,-0.48664301682016875,7.811466945768796,7.472706883104537,-3.101240333650326,-1.378697291116015,0.6794829612550368,13.572422356809472
1990-08-31,-0.407580715784152,7.936973668857208,7.7583697675346865,-3.0125527586693526,-2.686717928436405,0.6849655029884919,13.854211988559054
1990-09-30,-0.29795820599570877,8.103515641155862,7.591411288991533,-2.2801810386134234,-2.0648424605365534,0.5968907094923096,13.959527267583736
1990-10-31,-0.18740043192031222,8.329377421739855,6.8289599930537115,-0.9207608980939815,1.0372305661874268,0.34294242899588306,13.794654442233357
1990-11-30,-0.08567653797778303,8.603644509247061,5.8091817457604735,0.38332308865065556,4.792531789826338,0.02734215716790589,13.435502757172333
1990-12-31,0.0021470853538647014,8.908486801328761,4.984170298383022,0.7920146608555317,6.811066401747887,-0.20387813787920553,12.998154993085977
1991-01-31,0.07377517142319147,9.225332177035625,4.677383271472275,-0.19783121042564658,5.4736491266575,-0.27051060178326397,12.573964051867703
1991-02-28,0.13713436916948324,9.532871412359505,4.7377748882460775,-1.8465864451963667,2.0043996006992817,-0.3351544782036982,12.163061096722972
1991-03-31,0.20250734049005883,9.809164791341635,4.904917724466384,-3.1281482632162887,-1.717133536662199,-0.6163764055108716,11.744549125084133
1991-04-30,0.27158784704956085,10.04343943718764,4.959558148807333,-3.2920736914465034,-4.162606047774533,-1.215461088586287,11.307848272489112
1991-05-31,0.31522963693630135,10.265019046832661,4.830284546732362,-2.5777265966338976,-5.064737186996456,-1.8125710486709785,10.879424241501345
1991-06-30,0.2973675984111101,10.512221659003933,4.478859250768101,-1.4465430790833134,-4.439197035284564,-1.9933978687413738,10.494052861487607
1991-07-31,0.18868788621478289,10.799631261925681,3.9102862425481657,-0.29543872527364984,-2.4650938244295064,-1.5169141348276667,10.166798634785525
1991-08-31,-0.016524791437580857,11.058871222786223,3.2807174952417495,0.7041975702678813,0.10717822563883783,-0.7477833842474395,9.843826575566007
1991-09-30,-0.31882983877680676,11.20345429188593,2.779300660068702,1.4302315675031239,2.4025037892506975,-0.18290752577913202,9.456260670427639
1991-10-31,-0.6980798607675468,11.184411912388937,2.5231266195959106,1.8165787859488087,3.750645902158717,-0.14716083983744288,8.966317098025238
1991-11-30,-1.0636642016536948,11.08044805681456,2.384083952981463,1.9878867249938097,4.178549101292032,-0.3800240135176596,8.44201579775308
1991-12-31,-1.3100045697631397,10.99739116267506,2.1819652604289774,2.1093261147372564,3.8613343659997845,-0.4966000413268514,7.973856518871974
1992-01-31,-1.3652502834488,11.001851474744432,1.8027328134001765,2.2949935253784743,3.0368487741095893,-0.24957882136423146,7.62672798648388
1992-02-29,-1.2692922756425673,11.030506990175482,1.3515730115133247,2.489773742284316,2.150754766441647,0.15251600431762186,7.3806680516321785
1992-03-31,-1.0851297344658608,10.993175175490869,0.9789983259900428,2.603569189585076,1.691626422067142,0.406920438140429,7.1981669324721524
1992-04-30,-0.8696021238521758,10.838269417072198,0.7917030646685724,2.591018117570721,1.9237445045522212,0.32287231591143967,7.045063072245314
1992-05-31,-0.6596786625426236,10.63870711603051,0.7550314320798817,2.5510691072468,2.387856866227601,0.07090874974789363,6.897995731144199
1992-06-30,-0.48832119881526814,10.492449727563775,0.8058822498638367,2.6116777065373613,2.47919306634905,-0.1057474986121825,6.735781718397873
1992-07-31,-0.36887523587254023,10.465289437872237,0.8875561601780031,2.813489930570086,1.8290726406320115,-0.03334303558387079,6.546180787292837
1992-08-31,-0.25306819679802306,10.521969609492803,0.963462948246368,2.922898575218802,0.8104115347583055,0.24366112620903524,6.345043910010111
1992-09-30,-0.08057660602525375,10.607446730695573,1.0009617529218582,2.652691653171836,-0.05872124926501731,0.6380651433488357,6.153738412972104
1992-10-31,0.18001851778433797,10.671047724338639,0.9871906363430514,1.9009304396157238,-0.40304483179080286,1.0558821278549408,6.020118810144518
1992-11-30,0.47171804561913777,10.675468561173968,0.9697908823236686,1.1324223925051786,-0.28406355625758406,1.382363795599073,6.073063246372237
1992-12-31,0.7206955938776534,10.585975280706464,1.007908287942572,0.9197408605568833,0.15345573739100726,1.4988470417460424,6.456797320639059
1993-01-31,0.8816994308949846,10.398532460336567,1.1273540817628416,1.5242101297928459,0.7210370864474653,1.3428589282053562,7.190710213838827
1993-02-28,0.9946077105504134,10.200562065054962,1.2546288162731667,2.279878201584987,1.0999858775490485,1.0193288171594959,7.9222772159341
1993-03-31,1.1150758394694442,10.096391030112805,1.2978633013977767,2.3492516853340066,0.9476683746693604,0.6642070996679008,8.230186300423675
1993-04-30,1.2930957728557002,10.136015948432933,1.2100522569439378,1.2914284489765668,0.13879150789304825,0.398126147565338,7.868134211019126
1993-05-31,1.5622252705773085,10.21177770231989,1.07437643304026,-0.18366568577788067,-0.8212589548017392,0.2972685261394832,7.097657893608353
1993-06-30,1.9530321888579425,10.187652652261757,0.997450738879291,-1.1590356854278405,-1.3137071059503065,0.4297382385266366,6.2717899935250365
